Unnamed: 0,sentence,#aspect terms,aspect_terms,at_polarity,main_sentiment
2731,"हाँ, कभी-कभी service slow हो सकती है।",1,['service'],['negative'],negative
394,Service awful है - last time जब मैं वहां था (और मेरा मतलब है कि last time) हमें बताया गया था कि उन्हें हमारे table की need थी इसलिए हमें जाना होगा।,2,"['Service', 'table']","['negative', 'negative']",negative
1989,Boot के लिए zero ambiance.,1,['ambiance'],['negative'],negative
2139,NY में better prices में बहुत से अच्छे places हैं।,1,['prices'],['negative'],negative
2220,कुल मिलाकर उस price category के लिए एक disappointing experience है.,1,['price'],['negative'],negative
2057,बस किसी को ले आओ जो Cantonese बोलता हो क्योंकि waiter आपको understand नहीं कर पायेगा।,1,['waiter'],['negative'],negative
1515,मेरे dining experience को uncomfortable बना दिया।,1,['dining experience'],['negative'],negative
430,"सबसे greatest sushi place नहीं, लेकिन $ 19.95 के लिए excellent आप सभी खा सकते हैं।",1,['sushi place'],['negative'],negative
3006,हमें कहा गया था कि वे solid booked किए गए थे और कोई दूसरा table available नहीं था।,1,['table'],['negative'],negative
2790,बस small dishes के साथ stick रहो,1,['dishes'],['negative'],negative
2064,"हमेशा popular, हमेशा full, हमेशा एक wait के साथ।",1,['wait'],['negative'],negative
386,Japanese food में अब तक का मैंने worst excuse देखा है।,1,['Japanese food'],['negative'],negative
1561,Waiter ने actually मेरे hand पर water गिरा दिया और चला गया।,2,"['Waiter', 'water']","['negative', 'neutral']",negative
2716,Edible लेकिन really उस area में दिये गए उन prices के जैसा हो।,1,['prices'],['negative'],negative
1060,Food lousy - बहुत sweet या बहुत salty और portions tiny था।,2,"['Food', 'portions']","['negative', 'negative']",negative
388,ऐसी lousy service पर कोई excuse नहीं!,1,['service'],['negative'],negative
2991,वह meal के बाद भी terribly thirsty था।,1,['meal'],['negative'],negative
1327,Sauces का भी use उतना exciting नहीं है।,1,['Sauces'],['negative'],negative
377,अब यदि उन्हे केवल एक toaster मिल जाता।,1,['toaster'],['negative'],negative
1056,उनके dine के लिए prices अधिक हैं और उनका chicken tikka masala काफी अच्छा है।,2,"['prices', 'chicken tikka masala']","['negative', 'positive']",negative
56,"वे कभी भी हमारे लिए complimentary noodles नहीं लाए,  बार-बार sugar लाने के requests को ignore कर दिया और हमारे dishes को table पर रख दिया।",3,"['noodles', 'sugar', 'dishes']","['negative', 'negative', 'negative']",negative
1234,कमियां: service slow है और वे toast नहीं देते हैं!,1,['service'],['negative'],negative
151,"किसी ने सोचा कि हमें apology या complimentary drinks मिलेगा - बजाय इसके, हमें एक snobby waiter मिला जिसने 15 मिनट तक हमारा order भी नहीं लिया और जब हमने उसे ऐसा करने के लिए कहा तो उसने हमें lip दिया।",2,"['waiter', 'drinks']","['negative', 'neutral']",negative
